dataset,model,seed,context_pct,attack,auc,source
locations,tabdpt,3,60.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed3/amia_ctx60/report/exp/attention_summary.csv
locations,tabdpt,4,60.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed4/amia_ctx60/report/exp/attention_summary.csv
locations,tabdpt,5,60.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed5/amia_ctx60/report/exp/attention_summary.csv
locations,tabdpt,1,70.0,AMIA row_max,0.9999404764857318,ml_privacy_meter/logs/locations/tabdpt/seed1/amia_ctx70/report/exp/attention_summary.csv
locations,tabdpt,2,70.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed2/amia_ctx70/report/exp/attention_summary.csv
locations,tabdpt,3,70.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed3/amia_ctx70/report/exp/attention_summary.csv
locations,tabdpt,4,70.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed4/amia_ctx70/report/exp/attention_summary.csv
locations,tabdpt,5,70.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed5/amia_ctx70/report/exp/attention_summary.csv
locations,tabdpt,1,80.0,AMIA row_max,0.999460422770159,ml_privacy_meter/logs/locations/tabdpt/seed1/amia_ctx80/report/exp/attention_summary.csv
locations,tabdpt,2,80.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed2/amia_ctx80/report/exp/attention_summary.csv
locations,tabdpt,3,80.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed3/amia_ctx80/report/exp/attention_summary.csv
locations,tabdpt,4,80.0,AMIA row_max,0.9999962001603532,ml_privacy_meter/logs/locations/tabdpt/seed4/amia_ctx80/report/exp/attention_summary.csv
locations,tabdpt,5,80.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed5/amia_ctx80/report/exp/attention_summary.csv
locations,tabdpt,1,90.0,AMIA row_max,0.9999369234881912,ml_privacy_meter/logs/locations/tabdpt/seed1/amia_ctx90/report/exp/attention_summary.csv
locations,tabdpt,2,90.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed2/amia_ctx90/report/exp/attention_summary.csv
locations,tabdpt,3,90.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed3/amia_ctx90/report/exp/attention_summary.csv
locations,tabdpt,4,90.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed4/amia_ctx90/report/exp/attention_summary.csv
locations,tabdpt,5,90.0,AMIA row_max,0.999954945348708,ml_privacy_meter/logs/locations/tabdpt/seed5/amia_ctx90/report/exp/attention_summary.csv
locations,tabdpt,1,100.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed1/amia/report/exp/attention_summary.csv
locations,tabdpt,2,100.0,AMIA row_max,0.9999975699962579,ml_privacy_meter/logs/locations/tabdpt/seed2/amia/report/exp/attention_summary.csv
locations,tabdpt,3,100.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed3/amia/report/exp/attention_summary.csv
locations,tabdpt,4,100.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed4/amia/report/exp/attention_summary.csv
locations,tabdpt,5,100.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed5/amia/report/exp/attention_summary.csv
locations,tabdpt,1,5.0,RMIA,1.0,ml_privacy_meter/logs/locations/tabdpt/seed1/rmia_ctx5/report/exp/attack_result_0.npz
locations,tabdpt,2,5.0,RMIA,1.0,ml_privacy_meter/logs/locations/tabdpt/seed2/rmia_ctx5/report/exp/attack_result_0.npz
locations,tabdpt,3,5.0,RMIA,1.0,ml_privacy_meter/logs/locations/tabdpt/seed3/rmia_ctx5/report/exp/attack_result_0.npz
